"filename", "language", "JSON", "Log", "JavaScript", "Docker", "comment", "blank", "total"
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\authMiddleware.js", "JavaScript", 0, 0, 39, 0, 0, 11, 50
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\checkKidProfileLimit.js", "JavaScript", 0, 0, 42, 0, 3, 9, 54
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\checkTimeLimits.js", "JavaScript", 0, 0, 43, 0, 5, 9, 57
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\kidContentFilter.js", "JavaScript", 0, 0, 31, 0, 6, 7, 44
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\kidSessionAuth.js", "JavaScript", 0, 0, 76, 0, 7, 8, 91
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\requireFamilyPlan.js", "JavaScript", 0, 0, 31, 0, 3, 5, 39
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\middlewares\validateParentOwnership.js", "JavaScript", 0, 0, 31, 0, 2, 6, 39
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\models\User.js", "JavaScript", 0, 0, 22, 0, 1, 5, 28
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\package-lock.json", "JSON", 6513, 0, 0, 0, 0, 1, 6514
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\package.json", "JSON", 38, 0, 0, 0, 0, 1, 39
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\payment_debug.log", "Log", 0, 29, 0, 0, 0, 1, 30
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\registerIPN.js", "JavaScript", 0, 0, 64, 0, 4, 20, 88
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\analyticsRoutes.js", "JavaScript", 0, 0, 17, 0, 2, 3, 22
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\authRoutes.js", "JavaScript", 0, 0, 14, 0, 9, 11, 34
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\categoryRoutes.js", "JavaScript", 0, 0, 26, 0, 2, 4, 32
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\contactRoutes.js", "JavaScript", 0, 0, 27, 0, 4, 4, 35
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\contentRoutes.js", "JavaScript", 0, 0, 47, 0, 3, 7, 57
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\emailVerificationRoutes.js", "JavaScript", 0, 0, 5, 0, 0, 2, 7
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\genreRoutes.js", "JavaScript", 0, 0, 21, 0, 2, 4, 27
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\imageProxyRoutes.js", "JavaScript", 0, 0, 5, 0, 1, 3, 9
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\kidProfileRoutes.js", "JavaScript", 0, 0, 28, 0, 4, 5, 37
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\kidRoutes.js", "JavaScript", 0, 0, 25, 0, 5, 6, 36
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\kidSessionRoutes.js", "JavaScript", 0, 0, 14, 0, 2, 2, 18
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\newPlanRoutes.js", "JavaScript", 0, 0, 27, 0, 2, 8, 37
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\notificationRoutes.js", "JavaScript", 0, 0, 18, 0, 3, 4, 25
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\overviewRoutes.js", "JavaScript", 0, 0, 8, 0, 0, 2, 10
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\paymentRoutes.js", "JavaScript", 0, 0, 15, 0, 6, 5, 26
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\peopleRoutes.js", "JavaScript", 0, 0, 31, 0, 3, 5, 39
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\preferencesRoutes.js", "JavaScript", 0, 0, 7, 0, 2, 4, 13
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\profileSelectionRoutes.js", "JavaScript", 0, 0, 12, 0, 2, 2, 16
