"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "JSON", "HTML", "Markdown", "XML", "YAML", "comment", "blank", "total"
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\Header\Navigation.jsx", "JavaScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 4, 11, 112
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\Header\NotificationDropdown.jsx", "JavaScript JSX", 287, 0, 0, 0, 0, 0, 0, 0, 13, 27, 327
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\Header\ProfileDropdown.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 1, 13, 139
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\Header\SearchModal.jsx", "JavaScript JSX", 789, 0, 0, 0, 0, 0, 0, 0, 48, 61, 898
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage.jsx", "JavaScript JSX", 815, 0, 0, 0, 0, 0, 0, 0, 35, 101, 951
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\ContentRow\ContentRow.jsx", "JavaScript JSX", 163, 0, 0, 0, 0, 0, 0, 0, 8, 18, 189
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\ContentRow\ContentRowSkeleton.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\ContentSections.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 3, 7, 80
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\ErrorState\ErrorState.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\HeroActions.jsx", "JavaScript JSX", 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 83
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\HeroContent.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\HeroSection.jsx", "JavaScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 3, 9, 101
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\LoadingStates\ContentCardSkeleton.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\LoadingStates\HeroSkeleton.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\NewReleasesSection.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 4, 6, 80
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\PopularInRwandaSection.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 4, 6, 80
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLandingPage\TrendingNowSection.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 4, 6, 80
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\ViewerLayout.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 17, 11, 73
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ContentCard.jsx", "JavaScript JSX", 225, 0, 0, 0, 0, 0, 0, 0, 18, 38, 281
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ContentDetailModal.jsx", "JavaScript JSX", 394, 0, 0, 0, 0, 0, 0, 0, 42, 56, 492
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\HoverModal.jsx", "JavaScript JSX", 444, 0, 0, 0, 0, 0, 0, 0, 40, 65, 549
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\HeroSection.jsx", "JavaScript JSX", 438, 0, 0, 0, 0, 0, 0, 0, 23, 59, 520
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\ModalNavigation.jsx", "JavaScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 3, 10, 68
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\PageNavigation.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\ShareModal.jsx", "JavaScript JSX", 257, 0, 0, 0, 0, 0, 0, 0, 12, 17, 286
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\AwardsTab.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\CastTab.jsx", "JavaScript JSX", 218, 0, 0, 0, 0, 0, 0, 0, 18, 25, 261
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\DetailsTab.jsx", "JavaScript JSX", 181, 0, 0, 0, 0, 0, 0, 0, 11, 15, 207
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\MediaTab.jsx", "JavaScript JSX", 457, 0, 0, 0, 0, 0, 0, 0, 22, 41, 520
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\OverviewTab.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 0, 0, 0, 11, 18, 226
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\SeasonsTab.jsx", "JavaScript JSX", 227, 0, 0, 0, 0, 0, 0, 0, 24, 32, 283
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\SimilarTab.jsx", "JavaScript JSX", 186, 0, 0, 0, 0, 0, 0, 0, 15, 23, 224
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabContent\mediatab.css", "PostCSS", 0, 0, 116, 0, 0, 0, 0, 0, 5, 19, 140
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\content\ontentDetailModal\TabNavigation.jsx", "JavaScript JSX", 225, 0, 0, 0, 0, 0, 0, 0, 16, 25, 266
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\kid\KidHeader.jsx", "JavaScript JSX", 357, 0, 0, 0, 0, 0, 0, 0, 32, 27, 416
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\kid\KidLayout.jsx", "JavaScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 8, 11, 70
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\kid\KidModeExitHandler.jsx", "JavaScript JSX", 74, 0, 0, 0, 0, 0, 0, 0, 1, 12, 87
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\kid\ProfileSelector.jsx", "JavaScript JSX", 150, 0, 0, 0, 0, 0, 0, 0, 17, 25, 192
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\kid\content\ContentCard.jsx", "JavaScript JSX", 225, 0, 0, 0, 0, 0, 0, 0, 3, 38, 266
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\layout\dashboard\viewer\kid\content\HoverModal.jsx", "JavaScript JSX", 413, 0, 0, 0, 0, 0, 0, 0, 45, 64, 522
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\subscription\FAQAccordion.jsx", "JavaScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 1, 8, 114
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\subscription\HelpSupport.jsx", "JavaScript JSX", 400, 0, 0, 0, 0, 0, 0, 0, 9, 28, 437
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\subscription\PlanComparison.jsx", "JavaScript JSX", 320, 0, 0, 0, 0, 0, 0, 0, 8, 23, 351
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\subscription\SubscriptionCard.jsx", "JavaScript JSX", 185, 0, 0, 0, 0, 0, 0, 0, 20, 21, 226
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\subscription\SubscriptionHeader.jsx", "JavaScript JSX", 115, 0, 0, 0, 0, 0, 0, 0, 7, 10, 132
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\ui\Alert.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 2, 5, 41
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\ui\EditableEmail.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\ui\Modal.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 3, 6, 28
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\ui\Popup.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\ui\ProfileMenu.jsx", "JavaScript JSX", 126, 0, 0, 0, 0, 0, 0, 0, 8, 11, 145
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\components\ui\Toast.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\config\navConfig.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 1, 2, 55
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 338, 0, 0, 0, 0, 0, 0, 0, 104, 54, 496
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\context\SubscriptionContext.jsx", "JavaScript JSX", 455, 0, 0, 0, 0, 0, 0, 0, 3, 64, 522
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\hooks\useAuthCheck.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\hooks\useContentDetail.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 6, 9, 65
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\hooks\useViewerLanding.js", "JavaScript", 0, 264, 0, 0, 0, 0, 0, 0, 7, 50, 321
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\i18n\en.json", "JSON", 0, 0, 0, 1588, 0, 0, 0, 0, 0, 0, 1588
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\i18n\fr.json", "JSON", 0, 0, 0, 1586, 0, 0, 0, 0, 0, 0, 1586
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\i18n\i18n.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 4, 6, 35
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\i18n\rw.json", "JSON", 0, 0, 0, 1586, 0, 0, 0, 0, 0, 0, 1586
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\i18n\sw.json", "JSON", 0, 0, 0, 1586, 0, 0, 0, 0, 0, 0, 1586
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\index.css", "PostCSS", 0, 0, 110, 0, 0, 0, 0, 0, 10, 17, 137
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\AdminDashboard.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\GlobalManagement\GlobalManagement.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\analytics\Analytics.jsx", "JavaScript JSX", 134, 0, 0, 0, 0, 0, 0, 0, 1, 16, 151
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\library\AddNew.jsx", "JavaScript JSX", 254, 0, 0, 0, 0, 0, 0, 0, 7, 20, 281
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\library\AllContent.jsx", "JavaScript JSX", 236, 0, 0, 0, 0, 0, 0, 0, 32, 39, 307
